CÓDIGO,CÓDIGO PROVEEDOR,CLASIFICACIÓN,DESCRIPCIÓN,PESENTACIÓN,CATEGORIA ABASTECIMIENTO, REFERENCIA CONSUMO UNITARIO ANUAL 2019,CANTIDAD VENDIDA HS AÑO 2019,ABC,Marca Ofertada,Precio  unitario ofertado paraComplejo Uruca,% descuento,DESCUENTO,IVA,PRECIO FINAL,Columna1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01036,10011031,Críticos,FLUCONAZOL 200 MG ,Tableta unitario,Z,668,,C,GLOBAL ," ₡1,467.00 ",20%, 293.40 ,2%,1197.07,FLUCOLENE 200MG X 1 CAP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04153,no disponible,,FLUMAZENILO 0.1MG/ML ,Ampolla,Transito,48,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09122,10070016,,"FLUOROMETALONA 0,1% (1 MG/ML) O FLUOROMETALONA ACETATO 0,1% (1 MG/ML) SUSPENSIÓN OFTÁLMICA",Frasco gotero 5mL,Almacenable,252,,C,SOPHIA," ₡16,165.00 ",20%," 3,233.00 ",2%,13190.64,FLUMETOL NF OFTENO 15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX001,10132015,,FLUOROURACILO CREMA,Tubo 20g,No Lom,0,,C,VALEANT," ₡22,975.00 ",20%," 4,595.00 ",2%,18747.60,EFUDIX 5 % 20 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01038,10011127,,"FLUOXETINA 20 MG (COMO HIDROCLORURO)***
CÁPSULA",Tableta unitario,Almacenable,18119,,A,APO, ₡406.00 ,30%, 121.80 ,2%,289.88,APO-FLUOXETINA 20MG  X 30 TABS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09378,10100081,Críticos,FLUTICASONA PROPIONATO 250 MCG/DOSIS INHALADOR,Inhalador 60 dosis,Z,197,,B,," ₡14,817.00 ",25%," 3,704.25 ",2%,11335.01,CASSARA FLUTICORT 250 MCG * 120 DOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01039,no disponible,,FORMOTEROL FUMARATO 12 UG ,Inhalador,Almacenable,95281,,A,, no disponible ,30%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01081,80810027,,"FÓRMULA ENTERAL (PROTEÍNAS 13-20%, LÍPIDOS 29-46%, CARBOHIDRATOS 45-55%, VITAMINAS Y MINERALES)",Lata 400g,Almacenable,10703,,C,," ₡12,195.00 ",20%," 2,439.00 ",2%,9951.12,ENSURE ADVANCE VAINILLA 400G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX078,80810043,,FÓRMULA ENTERAL COMPLETA PARA DIABÉTICOS Líquido,Lata 8 onzas,No Lom,1560,,B,," ₡2,195.00 ",25%, 548.75 ,2%,1679.18,GLUCERNA TRIPLE VAINILLA 8 OZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX079,80810024,,FÓRMULA ENTERAL PARA INSUFICIENCIA RENAL Líquido,Lata 237mL,No Lom,0,,C,," ₡7,343.00 ",20%," 1,468.60 ",2%,5991.89,ENTEREX RENAL 237 ML VAINILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11100,80810044,,FÓRMULA ENTERAL PARA PACIENTE DIABÉTICO Polvo,Lata 400g,Z,727,,B,," ₡12,218.00 ",25%," 3,054.50 ",2%,9346.77,GLUCERNA TRIPLE VAINILLA 400 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09307,,,FORMULA INMUNOMODULADORA SOBRE,Sobre,Almacenable,759,,C,IMMUNEX," ₡24,528.00 ",20%," 4,905.60 ",2%,20014.85,INMMUNEX 131GRS POR UN SOBRE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09379,no disponible,,FOSFATO DE POTASIO COMO 3MMOL/ML FOSFATO Y 4.4 MEQ/ML POTASIO ,Frasco  inyectable 15mL,Transito,226,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX080,10090017,,FOSFOMICINA 3 G GRANULADO PARA SUSPENSION ORAL,Sobre,No Lom,11,,C,ZAMBON," ₡9,408.00 ",20%," 1,881.60 ",2%,7676.93,MONUROL 3G GRANULADO CAJA CON 1 SOBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04058,,,FUROSEMIDA 20 MG AMPOLLA ,Ampolla,Almacenable,641,,B,," ₡2,479.00 ",25%, 619.75 ,2%,1896.44,FUROSEMIDA AMPOLLA20MG/2ML X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01215,10010374,,FUROSEMIDA 40 MG / TABLETA,Tableta unitario,Z,623,,C,GENFAR, ₡143.00 ,20%, 28.60 ,2%,116.69,FUROSEMIDA GENFAR 40 MG*100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01085,10011935,,GABAPENTINA 300 MG*** ,Tableta unitario,Z,77803,,A,, ₡664.00 ,30%, 199.20 ,2%,474.10,GABOTON 300 MG X 30 CAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01086,no disponible,,"GABAPENTINA 600 MG***
CÁPSULA O GRAGEA",Tableta unitario,Almacenable,64316,,A,, no disponible ,30%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09381,no disponible,,"GADOPENTETATO DE DIMEGLUMINA 469,01MG/ML (0,5MOL/L)",Frasco inyectable ,Almacenable,208,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX081,40410734,,GEL DE BAÑO PH 5 ,Envase,No Lom,35,,C,EUCERIN," ₡7,936.00 ",20%," 1,587.20 ",13%,7174.14,EUCERIN PIEL SENSIBLE PH5 SYNDET - GEL 250ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09127,10010466,,GEMFIBROCILO 600 MG/CAP,Cápsula unitario,Z,89,,C,, ₡798.00 ,20%, 159.60 ,2%,651.17,LOPID 600 MG*20 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04061,16030006,,GENTAMICINA  80 MG INYECTABLE ,Ampolla,Almacenable,5325,,B,LA SANTE," ₡5,175.00 ",25%," 1,293.75 ",2%,3958.88,GENTAMICINA LA SANTE 160MG/2ML*1 AMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M03014,16070004,,GENTAMICINA SULFATO 0.3% SOL. OFT.,Frasco gotero,Almacenable,622,,B,ALCAMES," ₡6,147.00 ",25%," 1,536.75 ",2%,4702.46,GENTAMICINA  SULFATO ALCAMES SOLUCION OFT 5 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01088,10010400,,GLIBENCLAMIDA 5 MG TABLETA,Tableta unitario,Z,1064,,B,RAVEN, ₡94.00 ,25%, 23.50 ,2%,71.91,GLIBENCLAMIDA RAVEN 5MG *60 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M05022,10060002,,GLICERINA ÓTICA,Frasco gotero 15mL,Z,15,,C,LABCEN," ₡1,410.00 ",20%, 282.00 ,2%,1150.56,GLICERINA GOTAS LABCEN 20G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX083,,,GLUCONATO DE POTASIO 20 MMOL/15ML  SOLUCIÓN ORAL,Frasco 150mL,No Lom,86,,C,," ₡3,894.53 ",20%, 778.91 ,2%,3177.94,CLORURO DE POTASIO SANDERSSON INY X 1 AMP UNIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09134,80810041,,GLUTAMINA /LACTOBACILOS REUTERII POLVO PARA SOLUCION ORAL S,Sobre ,Transito,1022,,B,," ₡6,690.27 ",25%," 1,672.57 ",2%,5118.06,GLUTAPAK - R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04064,no disponible,,HALOPERIDOL 5 MG INYECTABLE ,Ampolla,Transito,119,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX085,10132063,,HEPARINA SÓDICA 1000 UI/G GEL,Tubo 30g,No Lom,75,,C,," ₡10,045.00 ",20%," 2,009.00 ",2%,8196.72,"LIOTON 1,000UI GEL 30 G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04067,,,HEPARINA SÓDICA 5000 UD/ML ,Frasco inyectable ,Transito,229,,B,," ₡27,518.40 ",25%," 6,879.60 ",2%,21051.58,HEPARINA SODICA5000UI/1ML FRASCO 5ML SANDERSON UNA AMPOLLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04068,10033150,,HEPARINAS BPM 40 MG ,Jeringa prellenada,Almacenable,74911,,B,," ₡18,255.00 ",25%," 4,563.75 ",2%,13965.08,CLEXANE 40 MG 0.4 ML IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04069,10033183,,HEPARINAS BPM 80 MG ,Jeringa prellenada,Almacenable,3069,,C,," ₡38,705.00 ",20%," 7,741.00 ",2%,31583.28,CLEXANE 80MG/0.8ML 2 JERINGAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01097,10010410,,HIDROCLOROTIAZIDA 25 MG TABLETA,Tableta unitario,Z,1957,,B,LISAN, ₡144.00 ,25%, 36.00 ,2%,110.16,HIDROCLOROTIAZIDA LISAN 25MG *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02043,10132042,,HIDROCORTISONA 1% CREMA TÓPICA,Tubo 15 gramos,Almacenable,1637,,B,ALCAMES," ₡2,937.00 ",25%, 734.25 ,2%,2246.81,HIDROCORTISONA UNG 0.1% ALCAMES 15 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04070,no disponible,,HIDROCORTISONA SUCCINATO 100MG ,Frasco inyectable ,Almacenable,73,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01100,10010409,,HIDROXICINA 25 MG TABLETA ,Tableta unitario,Almacenable,77922,,A,CHEMO, ₡231.00 ,30%, 69.30 ,2%,164.93,HIDROXIZINA CHEMO 25 MG*20 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09139,10010424,,HIERRO AMINOQUELADO (30 MG HIERRO) /ACIDO FOLICO 250 MCG /TABLETA,Tableta unitario,Z,2250,,B,UNIPHARM, ₡271.00 ,25%, 67.75 ,2%,207.32,INTRAFER 30 MG.*30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09140,10040086,,HIERRO AMINOQUELADO+ ACIDO FOLICO 30 MG/250 MCG SUPENSIÓN FRASCO,Frasco 150mL,No Lom,1,,C,UNIPHARM," ₡8,612.00 ",20%," 1,722.40 ",2%,7027.39,INTRAFER TF JBE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX089,,Críticos,HIERRO CARBOXIMALTOSA 50 MG/ML SOLUCION INYECTABLE,Frasco inyectable ,No Lom,23,,C,frinject," ₡110,355.53 ",20%," 22,071.11 ",2%,90050.11,FERINJECT SOLUCION INYECTABLE 10 ML (RESG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01109,no disponible,,HIERRO FUMARATO 200 MG / TABLETA,Tableta unitario,Z,30,,C,ferrolent, no disponible ,20%,#VALUE!,,#VALUE!,ferrolent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01112,10010010,,HIOSCINA 10 MG ,Tableta unitario,Almacenable,6840,,B,SANOFI, ₡424.00 ,25%, 106.00 ,2%,324.36,BUSCAPINA SIMPLE 10MG * 24 GRAGEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04076,10033279,,"HIOSCINA PROPINOXATO Ó PRIMAVE.20MG., 5MG., O 2.25 MG RESP. ",Ampolla,Z,178,,C,GLOBAL ," ₡3,950.00 ",20%, 790.00 ,2%,3223.20,SERTRASIL COMPUESTO SOLUCION INYECTABLE X 3 DOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01115,10010418,,IBUPROFENO 400 MG ,Tableta unitario,Almacenable,2268680,,A,GENFAR, ₡171.00 ,30%, 51.30 ,2%,122.09,IBUPROFENO GENFAR 400 MG*100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09387,,,IMIPENEM 500 MG / CILASTATINA 500 MG ,Frasco inyectable ,Z,97,,C,," ₡27,875.40 ",20%," 5,575.08 ",2%,22746.33,TIENAM 500MG INYECT FRASCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01118,,,IMIPRAMINA 10 MG ,Tableta unitario,Almacenable,44251,,C,GUTIS, ₡165.00 ,20%, 33.00 ,2%,134.64,GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01121,no disponible,,IMIPRAMINA 25 MG ,Tableta unitario,Almacenable,16990,,A,, no disponible ,30%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02046,10110009,,INDOMETACINA 100MG SUPOSITORIO ,Supositorio individual,Almacenable,8275,,B,GUTIS, ₡705.00 ,25%, 176.25 ,2%,539.33,FLADECIN 100 MG*100 SUPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01124,,,INDOMETACINA 25 MG CÁPSULA ,Cápsula unitario,Almacenable,1459814,,A,GUTIS, ₡160.00 ,30%, 48.00 ,2%,114.24,GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07101,,,"INSULINA HUMANA CRISTALINA BIOSINTÉTICA 100 UI/ML
SOLUCIÓN INYECTABLE",Frasco inyectable ,Almacenable,170,,C,," ₡33,881.00 ",20%," 6,776.20 ",2%,27646.90,HUMULIN R  no disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07100,,,"INSULINA HUMANA DE ACCIÓN INTERMEDIA BIOSINTÉTICA NPH 100 UI/ML
SUSPENSIÓN INYECTABLE",Frasco inyectable,Almacenable,303,,C,," ₡33,880.00 ",20%," 6,776.00 ",2%,27646.08,Humuling N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04080,no disponible,,IOHEXOL 300 MG/10 ML,Frasco inyectable,Z,0,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04081,no disponible,,"IOPROMIDA AL 62,34% ",Frasco inyectable,Almacenable,948,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09037,10100087,,IPRATROPIO BROMURO 250 MCG/ML solución para nebulizar,Frasco 20mL,Z,32,,C,cassara," ₡4,232.00 ",20%, 846.40 ,2%,3453.31,CASSARA SALBUTRAL 100 MCG/DOSIS 250 DOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09144,,,IRBESARTÁN 150 MG TABLETA***,Tableta unitario,Almacenable,7377,,B,GUTIS, ₡392.16 ,25%, 98.04 ,2%,300.00,GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX091,10010490,,ISOSORBIDE 20 MG TABLETA,Tableta unitario,No Lom,307,,C,, ₡560.00 ,20%, 112.00 ,2%,456.96,MEDOCOR 20MG*20COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09153,10011977,,IVERMECTINA 6 MG/TAB,Tableta unitario,Z,19,,C,, ₡689.00 ,20%, 137.80 ,2%,562.22,IVERPIOFIN 6MG X 24 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M05028,40420528,,JABÓN DETERGENTE NEUTRO (CX25) BARRA,Barra 100g,Almacenable,7222,,C,," ₡1,394.00 ",20%, 278.80 ,13%,1260.18,JABON NEUTRO GRISI 100 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02049,10132052,,"JALEA O GEL LUBRICANTE
TUBO",Tubo 120 gramos,Almacenable,4552,,C,," ₡3,318.58 ",20%, 663.72 ,13%,3000.00,K-Y GEL LUBRICANTE 100 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08023,no disponible,,KETAMINA CLORHIDRATO 10MG./ML ,Frasco inyectable,Transito,453,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02050,,,KETANSERINA GEL,Tubo 50-100 gramos,Almacenable,385,,C,," ₡33,208.00 ",20%," 6,641.60 ",2%,27097.73,sufrexal gel 78gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX093,10132056,,KETOCONAZOL CREMA,Tubo 30-40 gramos,No Lom,29,,C,MK," ₡6,058.00 ",20%," 1,211.60 ",2%,4943.33,KETOCONAZOL MK 2% CREMA 30 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01127,10010438,,KETOCONAZOL TABLETA 200 MG,Tableta unitario,No Lom,20,,C,LISAN, ₡565.00 ,20%, 113.00 ,2%,461.04,KETOCONAZOL (LISAN) 200MG * 10 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09157,,,LACTATO RINGER ,Bolsa de 1 Litro,Almacenable,530,,C,," ₡1,323.00 ",20%, 264.60 ,0%,1058.40,SUERORINGER BAXTER 1000ML ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10110,10040095,,LACTULOSA 65%.SOLUCIONORAL,Frasco 200mL,Z,189,,C,ABL PHARMA," ₡17,930.00 ",20%," 3,586.00 ",2%,14630.88,LACTULOSA SOLUCION ORAL 200 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08141,no disponible,,LAMIVUDINA 150 MG/ZIDOVUDINA 300 MG***,Frasco x60 tabletas,Almacenable,11907,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09159,,Críticos,LAMOTRIGINA 100 MG TABLETA MASTICABLE Y DISPERSABLE***,Tableta unitario,Z,12375,,A,lamictal," ₡2,580.00 ",30%, 774.00 ,2%,1842.12,LAMICTAL 100 MG X 30 TABS MAST (RESG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09162,10070129,,LATANOPROST 0.005%  O TRAVOPROST 0.004%  Gotas oftálmicas,"Frasco gotero  2,5 -5mL",Z,20,,C,SOPHIA," ₡34,827.00 ",20%," 6,965.40 ",2%,28418.83,"GAAP PF OFTENO 0,005% 3ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09354,10110001,,LAXANTE PARA ENEMA,Frasco para enema,Z,117,,C,FERRER," ₡4,650.00 ",20%, 930.00 ,2%,3794.40,CLYSS-GO SOLUCION ENEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09123,10040261,,LAXANTE SOLUCIÓN ELECTROLITICA ORAL FRASCO,Frasco solución oral,Z,29,,C,," ₡7,470.00 ",20%," 1,494.00 ",2%,6095.52,PARALAX SOLUCION ORAL 45 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX098,no disponible,Críticos,LEVETIRACETAM 100 MG/ML SOLUCION ORAL,Frasco  150-300mL,No Lom,144,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX099,,,LEVETIRACETAM 1000 MG,Tableta unitario,No Lom,300,,C,KOPODEX," ₡2,093.00 ",20%, 418.60 ,2%,1707.89,KOPODEX 1000MGX 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX100,,Críticos,LEVETIRACETAM 500 MG,Tableta unitario,No Lom,1821,,C,KOPODEX," ₡1,450.00 ",20%, 290.00 ,2%,1183.20,KOPODEX 500MG X 30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04166,no disponible,,LEVOBUPIVACAÍNA CLORHIDRATO 0.5%,Ampolla,Almacenable,18269,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09357,,,LEVOFLOXACINA 500 MG/100ML ,Frasco o bolsa inyectable,Z,580,,B,," ₡20,764.00 ",25%," 5,191.00 ",2%,15884.46,LEVOFLOXACINA 500 MG/100ML UNA AMPOLLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09165,16010046,Críticos,LEVOFLOXACINA 500 MG/TAB,Tableta unitario,Z,432,,C,GENFAR," ₡1,327.00 ",20%, 265.40 ,2%,1082.83,LEVOFLOXACINO GENFAR 500*7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09314,16010118,,LEVOFLOXACINA 750 MG/TAB,Tableta unitario,No Lom,402,,C,," ₡1,797.00 ",20%, 359.40 ,2%,1466.35,ELISOR 750MG * 10 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01054,10010267,Críticos,LEVOSULPIRIDE 25 MG TABLETA,Tableta unitario,No Lom,306,,C,LISAN, ₡320.00 ,20%, 64.00 ,2%,261.12,DIGESMAS 25MG LISAN * 60 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04084,10033068,Críticos,LEVOSULPIRIDE 25 MG/ 2 ML SOLUCION INYECTABLE,Ampolla,No Lom,1570,,B,FERRER," ₡2,970.00 ",25%, 742.50 ,2%,2272.05,DISLEP 25 MG 2 ML*6 AMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09393,10050064,Críticos,LEVOSULPIRIDE 25MG/ML SOLUCION ORAL GOTAS,Frasco 20mL,Z,708,,C,LISAN," ₡7,752.32 ",20%," 1,550.46 ",2%,6325.89,DIGESMAS GOTAS 20 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09166,10010334,,LEVOTIROXINA 0.1 MG /TABLETA,Tableta unitario,Z,690,,C,, ₡201.00 ,20%, 40.20 ,2%,164.02,EUTIROX 100MG X 50 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX104,10010333,,LEVOTIROXINA 25 MCG TABLETA,Tableta unitario,No Lom,306,,C,, ₡165.00 ,20%, 33.00 ,2%,134.64,EUTIROX 25MG *50 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02052,10132061,,LIDOCAÍNA 10MG. SOLUCIÓN AEROSOL ,Spray ,No Lom,1481,,C,LISAN," ₡3,053.92 ",20%, 610.78 ,2%,2492.00,LIDOCAINA LACOFA 2.5 % SPRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04085,10033087,,LIDOCAÍNA 2% CON PRESERVANTE 20 MG ,Frasco inyectable,Z,2494,,C,ALCAMES," ₡6,065.45 ",20%," 1,213.09 ",2%,4949.41,LIDOCAINA ALCAMES C/PRESERVANTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04086,10033088,,LIDOCAINA 2% SIN PRESERVANTE,Frasco inyectable,Almacenable,11850,,A,ALCAMES," ₡5,909.00 ",30%," 1,772.70 ",2%,4219.03,LIDOCAINA ALCAMES S/PRESERVANTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08025,,,LIDOCAÍNA AL 2 % CON EPINEFRINA 1:80.000 CÁRPULES ,Ampollas,Transito,1600,,B,," ₡13,862.00 ",25%," 3,465.50 ",2%,10604.43,Lidocaina C/ epinefrina 2% E -80 carpules ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09167,,,LIDOCAÍNA C/EPINEFRINA 2% ,Frasco inyectable,Almacenable,72,,C,, ₡386.00 ,20%, 77.20 ,2%,314.98,LIDOCAINA AL 2%/EPINEFRINA 50 UDS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02053,10132147,,LIDOCAINA PARCHE 5% P/P TRANSDERMICOS,Parche unitario,Transito,32003,,A,, ₡899.20 ,30%, 269.76 ,2%,642.03,VERSATIS 5% LIDOCAINA PARCHE *5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04156,,,LINEZOLID 600 MG BOLSA PARA INFUSIÓN  2 MG/ML,Frasco o bolsa inyectable,Almacenable,1380,,B,zayvox," ₡54,348.00 ",25%," 13,587.00 ",2%,41576.22,ZAYVOX 600MG /300ml  x 1  AGOTADO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01128,,,LINEZOLID 600 MG/TAB ,Tableta unitario,Almacenable,3660,,B,zayvox," ₡53,539.00 ",25%," 13,384.75 ",2%,40957.34,ZAYVOX X30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09171,,,LOPERAMIDA 2 MG/CAP,Tableta unitario,Z,5511,,C,LOMOTIL, ₡649.60 ,20%, 129.92 ,2%,530.07,IMODIUM 2 MG X 12 GRAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08143,no disponible,,LOPINAVIR 200 MG / RITONAVIR 50 MG***,Frasco x 120 tabletas,Almacenable,22815,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M06013,no disponible,,LORAZEPÁN 2MG.,Frasco 1mL,Z,219,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09173,10010471,,LOVASTATINA 20 MG/TAB,Tableta unitario,Z,2443,,B,GENFAR, ₡305.00 ,25%, 76.25 ,2%,233.33,LOVASTATINA GENFAR 20MG*10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09174,10040024,,MAGNESIO HIDROXIDO SUSPENSIÓN ,Frasco 120mL,Z,293,,C,," ₡3,275.00 ",20%, 655.00 ,2%,2672.40,ANTIACIDO LISAN MENTA 200 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04160,,,MAGNESIO SULFATO 20 % (200 MG/ML) AMPOLLA 2 G ,Ampolla ,Almacenable,374,,C,," ₡4,876.00 ",20%, 975.20 ,2%,3978.82,SULFATO DE MAGNESIO 20% 10 ML UNIDAD SANDERSON X100UNID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04088,no disponible,,MANITOL 25%  ,Frasco inyectable,Transito,11,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08105,no disponible,,MEGLUMINA ANTIMONIATO 30%,Frasco inyectable,Z,0,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08100,,,MEROPENEM 500 MG ,Frasco inyectable,Almacenable,6827,,A,," ₡19,530.00 ",30%," 5,859.00 ",2%,13944.42,MEROPENEM 500MGX10UNID vitalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
